line_id,external_id,Latitude,Longitude
7890,239638,45.504321,-73.494321
7891,239638,45.504321,-73.494321
7892,239638,45.504321,-73.494321
7893,239638,45.504321,-73.494321
7908,26779,45.554321,-73.544321
7909,26779,45.554321,-73.544321
7910,26779,45.554321,-73.544321
7911,26779,45.554321,-73.544321
7933,780297,45.634321,-73.794321
7934,780297,45.634321,-73.794321
7935,780297,45.634321,-73.794321
7944,7003027,45.604321,-72.974321
7945,7003027,45.604321,-72.974321
7946,7003027,45.604321,-72.974321
7947,7003027,45.604321,-72.974321
7948,7003027,45.604321,-72.974321
7949,7003027,45.604321,-72.974321
7950,7003027,45.604321,-72.974321
7951,7003027,45.604321,-72.974321
7952,7003920,45.694321,-73.634321
7953,7003920,45.694321,-73.634321
7954,7003920,45.694321,-73.634321
7955,7003920,45.694321,-73.634321
7962,560097,45.504321,-73.554321
7969,7002919,45.654321,-73.854321
7970,7002919,45.654321,-73.854321
7971,7002919,45.654321,-73.854321
7972,7002919,45.654321,-73.854321
7973,7002919,45.654321,-73.854321
7974,7002919,45.654321,-73.854321
7975,7002919,45.654321,-73.854321
7976,7002919,45.654321,-73.854321
7977,7002919,45.654321,-73.854321
7978,7002919,45.654321,-73.854321
7979,7002919,45.654321,-73.854321
7980,7002919,45.654321,-73.854321
7981,7002919,45.654321,-73.854321
7982,7002919,45.654321,-73.854321
7983,7002919,45.654321,-73.854321
7984,7002919,45.654321,-73.854321
7993,7002919,45.654321,-73.854321
7994,7002919,45.654321,-73.854321
7995,7002919,45.654321,-73.854321
7996,7002919,45.654321,-73.854321
7997,7002919,45.654321,-73.854321
7998,7002919,45.654321,-73.854321
7999,7002919,45.654321,-73.854321
8000,7002919,45.654321,-73.854321
8001,7002919,45.654321,-73.854321
8002,7002919,45.654321,-73.854321
8003,7002919,45.654321,-73.854321
8004,7002919,45.654321,-73.854321
8005,7002919,45.654321,-73.854321
8006,7002919,45.654321,-73.854321
8007,7002919,45.654321,-73.854321
8008,7002919,45.654321,-73.854321
8009,7002919,45.654321,-73.854321
8010,7002919,45.654321,-73.854321
8011,7002919,45.654321,-73.854321
8012,7002919,45.654321,-73.854321
8013,7002919,45.654321,-73.854321
8014,7002919,45.654321,-73.854321
8015,7002919,45.654321,-73.854321
8016,7002919,45.654321,-73.854321
8025,328253,45.554321,-73.204321
8026,328253,45.554321,-73.204321
8027,328253,45.554321,-73.204321
8028,328253,45.554321,-73.204321
8029,328253,45.554321,-73.204321
8030,328253,45.554321,-73.204321
8031,328253,45.554321,-73.204321
8032,328253,45.554321,-73.204321
8033,7001823,45.734321,-73.524321
8034,7001823,45.734321,-73.524321
8035,7001823,45.734321,-73.524321
8036,7001823,45.734321,-73.524321
8037,7001823,45.734321,-73.524321
8038,7001823,45.734321,-73.524321
8039,7001823,45.734321,-73.524321
8040,7001823,45.734321,-73.524321
8041,7001823,45.734321,-73.524321
8042,7001823,45.734321,-73.524321
8043,7001823,45.734321,-73.524321
8044,7002919,45.654321,-73.854321
8045,7002919,45.654321,-73.854321
8046,7002919,45.654321,-73.854321
8047,7002919,45.654321,-73.854321
8057,453665,45.594321,-73.434321
8058,453665,45.594321,-73.434321
8059,453665,45.594321,-73.434321
8060,453665,45.594321,-73.434321
8062,776329,45.694321,-73.634321
8063,776329,45.694321,-73.634321
8067,453665,45.594321,-73.434321
8068,453665,45.594321,-73.434321
8069,453665,45.594321,-73.434321
8070,453665,45.594321,-73.434321
8071,453665,45.594321,-73.434321
8072,453665,45.594321,-73.434321
8084,778351,46.764321,-73.894321
8085,778351,46.764321,-73.894321
8086,778351,46.764321,-73.894321
8087,778351,46.764321,-73.894321
8089,93031,45.534321,-73.574321
8091,93031,45.534321,-73.574321
8092,93031,45.534321,-73.574321
8093,93031,45.534321,-73.574321
8094,93031,45.534321,-73.574321
8095,93031,45.534321,-73.574321
8096,93031,45.534321,-73.574321
8097,93031,45.534321,-73.574321
8098,93031,45.534321,-73.574321
8099,93031,45.534321,-73.574321
8100,93031,45.534321,-73.574321
8101,93031,45.534321,-73.574321
8102,93031,45.534321,-73.574321
8103,93031,45.534321,-73.574321
8104,93031,45.534321,-73.574321
8105,93031,45.534321,-73.574321
8106,93031,45.534321,-73.574321
8107,93031,45.534321,-73.574321
8108,93031,45.534321,-73.574321
8109,93031,45.534321,-73.574321
8110,93031,45.534321,-73.574321
8112,93031,45.534321,-73.574321
8113,93031,45.534321,-73.574321
8114,93031,45.534321,-73.574321
8115,93031,45.534321,-73.574321
8116,93031,45.534321,-73.574321
8285,1004914,45.534321,-73.614321
8286,1004914,45.534321,-73.614321
8287,1004914,45.534321,-73.614321
8288,1004914,45.534321,-73.614321
8294,7001797,46.824321,-71.274321
8295,7001797,46.824321,-71.274321
8296,7001797,46.824321,-71.274321
8297,7001797,46.824321,-71.274321
8298,7001797,46.824321,-71.274321
8299,7001797,46.824321,-71.274321
8300,775907,45.564321,-73.454321
8301,775907,45.564321,-73.454321
8302,775907,45.564321,-73.454321
8304,775907,45.564321,-73.454321
8305,775907,45.564321,-73.454321
8314,329447,46.794321,-71.274321
8315,329447,46.794321,-71.274321
8316,329447,46.794321,-71.274321
8317,329447,46.794321,-71.274321
8319,7002443,45.574321,-73.334321
8320,7002443,45.574321,-73.334321
8321,7002443,45.574321,-73.334321
8322,7002443,45.574321,-73.334321
8323,7002443,45.574321,-73.334321
8324,7002443,45.574321,-73.334321
8325,7002443,45.574321,-73.334321
8326,7002443,45.574321,-73.334321
8328,329447,46.794321,-71.274321
8329,329447,46.794321,-71.274321
8330,329447,46.794321,-71.274321
8331,329447,46.794321,-71.274321
8332,7002443,45.574321,-73.334321
8333,7002443,45.574321,-73.334321
8334,7002443,45.574321,-73.334321
8335,7002443,45.574321,-73.334321
8336,7002443,45.574321,-73.334321
8337,7002443,45.574321,-73.334321
8346,329447,46.794321,-71.274321
8348,329447,46.794321,-71.274321
8349,329447,46.794321,-71.274321
8350,395844,46.794321,-71.254321
8351,395844,46.794321,-71.254321
8352,395844,46.794321,-71.254321
8353,395844,46.794321,-71.254321
8378,708671,46.804321,-71.264321
8379,708671,46.804321,-71.264321
8380,708671,46.804321,-71.264321
8381,708671,46.804321,-71.264321
8382,708671,46.804321,-71.264321
8383,708671,46.804321,-71.264321
8384,708671,46.804321,-71.264321
8385,708671,46.804321,-71.264321
8389,7004467,45.544321,-73.594321
8390,7004467,45.544321,-73.594321
8391,7004467,45.544321,-73.594321
8392,7004467,45.544321,-73.594321
8393,7004467,45.544321,-73.594321
8394,7004467,45.544321,-73.594321
8395,7004467,45.544321,-73.594321
8396,7004467,45.544321,-73.594321
8398,7004467,45.544321,-73.594321
8399,7004467,45.544321,-73.594321
8400,7004467,45.544321,-73.594321
8401,7004467,45.544321,-73.594321
8402,7004467,45.544321,-73.594321
8403,7004467,45.544321,-73.594321
8404,7004467,45.544321,-73.594321
8405,7004467,45.544321,-73.594321
8406,7004467,45.544321,-73.594321
8407,7004467,45.544321,-73.594321
8408,7004467,45.544321,-73.594321
8443,212434,47.024321,-71.384321
8444,212434,47.024321,-71.384321
8445,212434,47.024321,-71.384321
8446,212434,47.024321,-71.384321
8447,212434,47.024321,-71.384321
8448,212434,47.024321,-71.384321
8449,212434,47.024321,-71.384321
8450,212434,47.024321,-71.384321
8451,212434,47.024321,-71.384321
8452,212434,47.024321,-71.384321
8453,212434,47.024321,-71.384321
8454,212434,47.024321,-71.384321
8455,212434,47.024321,-71.384321
8456,212434,47.024321,-71.384321
8457,212434,47.024321,-71.384321
8458,212434,47.024321,-71.384321
8501,785653,46.724321,-71.274321
8502,785653,46.724321,-71.274321
8503,784764,45.494321,-73.574321
8504,784764,45.494321,-73.574321
8505,784764,45.494321,-73.574321
8507,784764,45.494321,-73.574321
8508,784764,45.494321,-73.574321
8560,325934,46.874321,-71.284321
8561,325934,46.874321,-71.284321
8562,325934,46.874321,-71.284321
8563,325934,46.874321,-71.284321
8564,482253,45.504321,-73.564321
8565,482253,45.504321,-73.564321
8566,482253,45.504321,-73.564321
8567,482253,45.504321,-73.564321
8568,482253,45.504321,-73.564321
8569,482253,45.504321,-73.564321
8570,482253,45.504321,-73.564321
8571,482253,45.504321,-73.564321
8572,39524,45.354321,-73.764321
8585,93217,45.594321,-73.634321
8586,7001888,45.504321,-73.554321
8587,7001888,45.504321,-73.554321
8728,329447,46.794321,-71.274321
8729,329447,46.794321,-71.274321
8730,329447,46.794321,-71.274321
8731,329447,46.794321,-71.274321
8732,329447,46.794321,-71.274321
8733,329447,46.794321,-71.274321
8734,329447,46.794321,-71.274321
8735,329447,46.794321,-71.274321
8747,54684,45.504321,-73.554321
8748,54684,45.504321,-73.554321
9068,56639,45.584321,-73.714321
9131,392799,46.804321,-71.314321
9132,392799,46.804321,-71.314321
9133,392799,46.804321,-71.314321
9134,392799,46.804321,-71.314321
9135,392799,46.804321,-71.314321
9136,392799,46.804321,-71.314321
9172,775907,45.564321,-73.454321
9271,200021,45.644321,-74.324321
9272,200021,45.644321,-74.324321
9347,7001772,46.704321,-71.344321
9348,7001772,46.704321,-71.344321
9349,7001772,46.704321,-71.344321
9577,7175,45.484321,-73.604321
9686,7001739,45.504321,-73.554321
9737,7001499,45.474321,-73.624321
9738,7001499,45.474321,-73.624321
9739,7001499,45.474321,-73.624321
9740,7001499,45.474321,-73.624321
9741,7001499,45.474321,-73.624321
9742,7001499,45.474321,-73.624321
9743,7001499,45.474321,-73.624321
9744,7001499,45.474321,-73.624321
9745,7001499,45.474321,-73.624321
9746,7001499,45.474321,-73.624321
9747,7001499,45.474321,-73.624321
9748,7001499,45.474321,-73.624321
9749,7001499,45.474321,-73.624321
9750,7001499,45.474321,-73.624321
9751,7001499,45.474321,-73.624321
9752,7001499,45.474321,-73.624321
9753,7001499,45.474321,-73.624321
9754,7001499,45.474321,-73.624321
9755,7001499,45.474321,-73.624321
9756,7001499,45.474321,-73.624321
9757,7004467,45.544321,-73.594321
9769,783423,45.424321,-73.824321
9770,783423,45.424321,-73.824321
9771,783423,45.424321,-73.824321
9772,783423,45.424321,-73.824321
9773,783423,45.424321,-73.824321
9774,783423,45.424321,-73.824321
9775,783423,45.424321,-73.824321
9776,783423,45.424321,-73.824321
9777,783423,45.424321,-73.824321
9778,783423,45.424321,-73.824321
9779,783423,45.424321,-73.824321
9780,783423,45.424321,-73.824321
9781,783423,45.424321,-73.824321
9782,783423,45.424321,-73.824321
9784,783423,45.424321,-73.824321
9785,783423,45.424321,-73.824321
9786,783423,45.424321,-73.824321
9787,783423,45.424321,-73.824321
9788,783423,45.424321,-73.824321
9811,7001456,45.494321,-73.574321
9812,7001456,45.494321,-73.574321
9813,7001456,45.494321,-73.574321
9814,7001456,45.494321,-73.574321
9815,7001456,45.494321,-73.574321
9816,7001456,45.494321,-73.574321
9817,7001456,45.494321,-73.574321
9818,7001456,45.494321,-73.574321
9819,7001456,45.494321,-73.574321
9820,7001456,45.494321,-73.574321
9821,7001456,45.494321,-73.574321
9822,7001456,45.494321,-73.574321
9823,7001456,45.494321,-73.574321
9824,7001456,45.494321,-73.574321
9825,7001456,45.494321,-73.574321
9826,7001456,45.494321,-73.574321
9828,7001456,45.494321,-73.574321
9829,7001456,45.494321,-73.574321
9830,7001456,45.494321,-73.574321
9831,7001456,45.494321,-73.574321
9832,7001456,45.494321,-73.574321
9837,42803,45.544321,-73.574321
9849,257881,45.364321,-73.744321
9850,257881,45.364321,-73.744321
9851,257881,45.364321,-73.744321
9852,257881,45.364321,-73.744321
9853,257881,45.364321,-73.744321
9854,257881,45.364321,-73.744321
9855,257881,45.364321,-73.744321
9856,257881,45.364321,-73.744321
9858,257881,45.364321,-73.744321
9859,257881,45.364321,-73.744321
9860,257881,45.364321,-73.744321
9861,257881,45.364321,-73.744321
9862,257881,45.364321,-73.744321
9863,257881,45.364321,-73.744321
9865,257881,45.364321,-73.744321
9866,257881,45.364321,-73.744321
9867,257881,45.364321,-73.744321
9868,257881,45.364321,-73.744321
9869,257881,45.364321,-73.744321
9870,257881,45.364321,-73.744321
9872,257881,45.364321,-73.744321
9873,257881,45.364321,-73.744321
9874,257881,45.364321,-73.744321
9875,257881,45.364321,-73.744321
9876,257881,45.364321,-73.744321
9877,257881,45.364321,-73.744321
9878,257881,45.364321,-73.744321
9879,257881,45.364321,-73.744321
9880,257881,45.364321,-73.744321
9881,257881,45.364321,-73.744321
9882,257881,45.364321,-73.744321
9883,257881,45.364321,-73.744321
9884,257881,45.364321,-73.744321
9885,257881,45.364321,-73.744321
9886,257881,45.364321,-73.744321
9887,257881,45.364321,-73.744321
9888,257881,45.364321,-73.744321
9889,257881,45.364321,-73.744321
9890,257881,45.364321,-73.744321
9891,257881,45.364321,-73.744321
9893,257881,45.364321,-73.744321
9894,257881,45.364321,-73.744321
9895,257881,45.364321,-73.744321
9896,257881,45.364321,-73.744321
9897,257881,45.364321,-73.744321
9898,257881,45.364321,-73.744321
9927,7004307,45.674321,-73.924321
9928,7004307,45.674321,-73.924321
9929,7004307,45.674321,-73.924321
10017,7001484,45.514321,-73.574321
10018,7001484,45.514321,-73.574321
10019,7001484,45.514321,-73.574321
10020,7001484,45.514321,-73.574321
10021,7001484,45.514321,-73.574321
10022,7001484,45.514321,-73.574321
10023,7001484,45.514321,-73.574321
10024,7001484,45.514321,-73.574321
10025,7001484,45.514321,-73.574321
10026,7001484,45.514321,-73.574321
10028,7001484,45.514321,-73.574321
10029,7001484,45.514321,-73.574321
10030,7001484,45.514321,-73.574321
10031,7001484,45.514321,-73.574321
10032,7001484,45.514321,-73.574321
10033,7001484,45.514321,-73.574321
10034,7001484,45.514321,-73.574321
10035,7001484,45.514321,-73.574321
10036,7001484,45.514321,-73.574321
10048,75624,45.494321,-73.574321
10101,594291,45.424321,-73.604321
10102,594291,45.424321,-73.604321
10103,594291,45.424321,-73.604321
10104,594291,45.424321,-73.604321
10105,594291,45.424321,-73.604321
10106,594291,45.424321,-73.604321
10107,594291,45.424321,-73.604321
10108,594291,45.424321,-73.604321
10109,594291,45.424321,-73.604321
10110,594291,45.424321,-73.604321
10111,594291,45.424321,-73.604321
10112,594291,45.424321,-73.604321
10113,594291,45.424321,-73.604321
10114,594291,45.424321,-73.604321
10115,594291,45.424321,-73.604321
10116,594291,45.424321,-73.604321
10117,594291,45.424321,-73.604321
10118,594291,45.424321,-73.604321
10119,594291,45.424321,-73.604321
10120,7003107,45.484321,-73.564321
10121,7003107,45.484321,-73.564321
10123,7003107,45.484321,-73.564321
10124,7003107,45.484321,-73.564321
10125,7003107,45.484321,-73.564321
10126,7003107,45.484321,-73.564321
10127,7003107,45.484321,-73.564321
10128,7003107,45.484321,-73.564321
10129,7003107,45.484321,-73.564321
10130,7003107,45.484321,-73.564321
10131,7003107,45.484321,-73.564321
10132,7003107,45.484321,-73.564321
10133,7003107,45.484321,-73.564321
10134,7003107,45.484321,-73.564321
10135,7003107,45.484321,-73.564321
10152,75624,45.494321,-73.574321
10153,75624,45.494321,-73.574321
10665,776329,45.694321,-73.634321
10666,776329,45.694321,-73.634321
10667,776329,45.694321,-73.634321
10668,776329,45.694321,-73.634321
10675,329447,46.794321,-71.274321
10676,329447,46.794321,-71.274321
10752,594287,45.624321,-73.754321
10756,7001484,45.514321,-73.574321
10757,328253,45.554321,-73.204321
10758,328253,45.554321,-73.204321
10759,328253,45.554321,-73.204321
10760,328253,45.554321,-73.204321
10761,328253,45.554321,-73.204321
10762,328253,45.554321,-73.204321
10763,328253,45.554321,-73.204321
10764,328253,45.554321,-73.204321
10770,328253,45.554321,-73.204321
10771,328253,45.554321,-73.204321
10772,328253,45.554321,-73.204321
10773,328253,45.554321,-73.204321
10774,328253,45.554321,-73.204321
10775,328253,45.554321,-73.204321
10776,328253,45.554321,-73.204321
10777,328253,45.554321,-73.204321
10853,93031,45.534321,-73.574321
10854,93031,45.534321,-73.574321
10862,785788,45.004321,-73.504321
10863,785788,45.004321,-73.504321
10933,7000638,45.504321,-73.584321
10975,776329,45.694321,-73.634321
10976,776329,45.694321,-73.634321
10977,776329,45.694321,-73.634321
10978,776329,45.694321,-73.634321
10979,776329,45.694321,-73.634321
10980,776329,45.694321,-73.634321
11188,7000437,45.774321,-74.004321
11612,773922,45.384321,-74.014321
11613,773922,45.384321,-74.014321
11614,773922,45.384321,-74.014321
11615,773922,45.384321,-74.014321
11616,773922,45.384321,-74.014321
11617,773922,45.384321,-74.014321
11618,773922,45.384321,-74.014321
11619,773922,45.384321,-74.014321
11620,773922,45.384321,-74.014321
11621,773922,45.384321,-74.014321
11622,773922,45.384321,-74.014321
11623,773922,45.384321,-74.014321
11624,773922,45.384321,-74.014321
11625,773922,45.384321,-74.014321
11626,773922,45.384321,-74.014321
11627,773922,45.384321,-74.014321
11628,28396,45.494321,-73.574321
11629,28396,45.494321,-73.574321
11630,28396,45.494321,-73.574321
11631,28396,45.494321,-73.574321
11632,28396,45.494321,-73.574321
11680,7003107,45.484321,-73.564321
11803,7001646,46.834321,-71.284321
11804,7001646,46.834321,-71.284321
11805,7001646,46.834321,-71.284321
11806,7001646,46.834321,-71.284321
11807,7001646,46.834321,-71.284321
11851,7000638,45.504321,-73.584321
11852,38010,45.504321,-73.574321
11853,38010,45.504321,-73.574321
11883,26988,45.574321,-73.814321
11884,26988,45.574321,-73.814321
11885,26988,45.574321,-73.814321
11886,26988,45.574321,-73.814321
12143,75624,45.494321,-73.574321
12267,7000437,45.774321,-74.004321
12268,7000437,45.774321,-74.004321
12269,7000437,45.774321,-74.004321
12270,7000437,45.774321,-74.004321
12273,329447,46.794321,-71.274321
12274,329447,46.794321,-71.274321
12277,329447,46.794321,-71.274321
12412,202033,45.574321,-73.624321
12413,202033,45.574321,-73.624321
12414,202033,45.574321,-73.624321
12415,202033,45.574321,-73.624321
12479,7002655,45.704321,-74.004321
12480,7002655,45.704321,-74.004321
12481,596611,45.504321,-73.504321
12482,596611,45.504321,-73.504321
12483,596611,45.504321,-73.504321
12484,13460,45.514321,-73.554321
12485,13460,45.514321,-73.554321
12486,783423,45.424321,-73.824321
12502,785812,46.114321,-70.684321
12517,7001484,45.514321,-73.574321
12518,7001456,45.494321,-73.574321
12537,334037,46.204321,-70.774321
12646,7001739,45.504321,-73.554321
12647,7001739,45.504321,-73.554321
12648,7001739,45.504321,-73.554321
12649,7001739,45.504321,-73.554321
12650,7001739,45.504321,-73.554321
12651,7001739,45.504321,-73.554321
12652,7001739,45.504321,-73.554321
12653,7001739,45.504321,-73.554321
12740,7004329,45.494321,-73.704321
12741,7004329,45.494321,-73.704321
12742,7004329,45.494321,-73.704321
12743,7004329,45.494321,-73.704321
12744,7004329,45.494321,-73.704321
12745,7004329,45.494321,-73.704321
12746,7004329,45.494321,-73.704321
12747,7004329,45.494321,-73.704321
12748,7004329,45.494321,-73.704321
12749,7004329,45.494321,-73.704321
12750,7004329,45.494321,-73.704321
12751,7004329,45.494321,-73.704321
12752,7004329,45.494321,-73.704321
12753,7004329,45.494321,-73.704321
12754,7004329,45.494321,-73.704321
12755,7004329,45.494321,-73.704321
12756,7004329,45.494321,-73.704321
12757,7004329,45.494321,-73.704321
12758,7004329,45.494321,-73.704321
12759,7004329,45.494321,-73.704321
12760,7004329,45.494321,-73.704321
12761,7004329,45.494321,-73.704321
12762,7004329,45.494321,-73.704321
12763,7004329,45.494321,-73.704321
12764,7004329,45.494321,-73.704321
12765,7004329,45.494321,-73.704321
12766,7004329,45.494321,-73.704321
12767,7004329,45.494321,-73.704321
12768,7004329,45.494321,-73.704321
12769,7004329,45.494321,-73.704321
12770,7004329,45.494321,-73.704321
12771,7004329,45.494321,-73.704321
12772,7004329,45.494321,-73.704321
12773,7004329,45.494321,-73.704321
12774,7004329,45.494321,-73.704321
12775,7004329,45.494321,-73.704321
12776,7004329,45.494321,-73.704321
12777,7004329,45.494321,-73.704321
12778,7004329,45.494321,-73.704321
12779,7004329,45.494321,-73.704321
12780,7004329,45.494321,-73.704321
12781,7004329,45.494321,-73.704321
12782,7004329,45.494321,-73.704321
12783,7004329,45.494321,-73.704321
12784,7004329,45.494321,-73.704321
12785,7004329,45.494321,-73.704321
12869,564944,45.964321,-70.654321
12870,564944,45.964321,-70.654321
12871,564944,45.964321,-70.654321
12954,780297,45.634321,-73.794321
12955,26988,45.574321,-73.814321
12956,26988,45.574321,-73.814321
13002,769997,45.504321,-73.824321
13003,769997,45.504321,-73.824321
13016,41531,45.504321,-73.624321
13023,39524,45.354321,-73.764321
13074,93031,45.534321,-73.574321
13075,93031,45.534321,-73.574321
13076,93031,45.534321,-73.574321
13144,7001797,46.824321,-71.274321
13238,334037,46.204321,-70.774321
13239,334037,46.204321,-70.774321
13240,334037,46.204321,-70.774321
13335,733795,45.564321,-73.444321
13336,733795,45.564321,-73.444321
13337,733795,45.564321,-73.444321
13338,733795,45.564321,-73.444321
13339,733795,45.564321,-73.444321
13340,733795,45.564321,-73.444321
13341,733795,45.564321,-73.444321
13342,733795,45.564321,-73.444321
13343,733795,45.564321,-73.444321
13344,733795,45.564321,-73.444321
13345,733795,45.564321,-73.444321
13346,733795,45.564321,-73.444321
13347,733795,45.564321,-73.444321
13348,733795,45.564321,-73.444321
13349,733795,45.564321,-73.444321
13350,733795,45.564321,-73.444321
13368,257881,45.364321,-73.744321
13369,257881,45.364321,-73.744321
13370,257881,45.364321,-73.744321
13371,257881,45.364321,-73.744321
13372,257881,45.364321,-73.744321
13373,257881,45.364321,-73.744321
13374,7001456,45.494321,-73.574321
13375,7001456,45.494321,-73.574321
13376,7001456,45.494321,-73.574321
13377,783423,45.424321,-73.824321
13378,783423,45.424321,-73.824321
13379,783423,45.424321,-73.824321
13380,7001499,45.474321,-73.624321
13381,7001499,45.474321,-73.624321
13382,7001499,45.474321,-73.624321
13383,7001484,45.514321,-73.574321
13384,7001484,45.514321,-73.574321
13385,7001484,45.514321,-73.574321
13386,7003107,45.484321,-73.564321
13387,7003107,45.484321,-73.564321
13388,7003107,45.484321,-73.564321
13459,778351,46.764321,-73.894321
13460,778351,46.764321,-73.894321
13461,778351,46.764321,-73.894321
13479,257881,45.364321,-73.744321
13480,257881,45.364321,-73.744321
13481,7001456,45.494321,-73.574321
13482,783423,45.424321,-73.824321
13483,7001499,45.474321,-73.624321
13484,7001484,45.514321,-73.574321
13488,7003107,45.484321,-73.564321
13665,257881,45.364321,-73.744321
13672,257881,45.364321,-73.744321
13673,7001456,45.494321,-73.574321
13689,783423,45.424321,-73.824321
13690,7001499,45.474321,-73.624321
13691,7001484,45.514321,-73.574321
13692,7003107,45.484321,-73.564321
13735,7003079,45.544321,-73.534321
13736,7003079,45.544321,-73.534321
13737,7003079,45.544321,-73.534321
13738,7003079,45.544321,-73.534321
13758,7004329,45.494321,-73.704321
13760,39524,45.354321,-73.764321
13813,7004329,45.494321,-73.704321
13816,239638,45.504321,-73.494321
13855,52007,45.494321,-73.584321
13908,42803,45.544321,-73.574321
13946,40084,45.474321,-73.594321
